word,tf,df,idf,TF.IDF,scaledTF,probability
like,3047,378,0.028889565273379648,88.02650538798778,0.12953712594377492,0.025848101051059967
im,2452,381,0.02545638943498568,62.41906689458489,0.11174134241142514,0.020800637931473267
um,2430,353,0.058606659722782395,142.41418312636122,0.257025734554876,0.02061400904301796
know,2173,369,0.03935499895154458,85.51841272170637,0.17068498098213047,0.01843384430060824
dont,1326,346,0.06730526631782835,89.24678313744039,0.27746888979428613,0.011248632095078936
go,1204,318,0.10395424512617227,125.1609111319114,0.4241984460898206,0.010213690077281326
one,1124,308,0.11783064861016074,132.44164903782067,0.4773044218207776,0.009535039573807485
uh,1039,268,0.1782465710818161,185.19818735400693,0.7159479487059781,0.008813973413866527
get,976,310,0.11501967127633228,112.25919916570031,0.45886520660144664,0.008279536142380875
yeah,860,282,0.1561322567912439,134.27374084046974,0.6143021225343122,0.0072954929123438044
video,819,270,0.17501760095161764,143.33941517937484,0.6848935603286942,0.00694768452931346
think,746,273,0.17021871806984895,126.98316368010732,0.6592126386317276,0.006328415944893579
want,719,261,0.189740857772324,136.42367673830094,0.7317790478565515,0.006099371399971157
really,698,256,0.1981413997987554,138.30269705953125,0.7616268940625895,0.005921225642809274
realli,686,263,0.1864256166208471,127.88797300190112,0.7151890888280572,0.005819428067288197
got,628,257,0.19644824177931042,123.36949583740694,0.7461024943609483,0.005327406452269662
see,624,263,0.1864256166208471,116.3295847714086,0.7075196273214825,0.005293473927095969
well,612,270,0.17501760095161764,107.11077178239,0.6627481493040425,0.005191676351574893
thing,606,241,0.2243643225357366,135.96477945665637,0.8486519078310386,0.0051407775638143555
make,581,263,0.1864256166208471,108.31328325671217,0.7017388565503428,0.0049286992814787794
say,569,247,0.2136844118509392,121.5864303431844,0.8024089560788782,0.0048269017059577035
xxxx,558,203,0.298885327197392,166.77801257614476,1.1198139884383969,0.00473358726173005
good,558,246,0.21544625800722586,120.21901196803204,0.8071983182830016,0.00473358726173005
gonna,540,212,0.28004550418185353,151.2245722582009,1.0452400922748273,0.004580890898448435
oh,537,236,0.2334693621404984,125.37304746944764,0.8708347172827364,0.004555441504568166
right,536,245,0.2172152807460725,116.42739047989485,0.8100315767414835,0.004546958373274743
time,536,244,0.21899153877187555,117.37946478172529,0.8166555356287174,0.004546958373274743
ive,529,229,0.24654588277071696,130.42277198570926,0.918002665619548,0.004487576454220782
lot,501,229,0.24654588277071696,123.5194872681292,0.912179758232342,0.004250048778004938
okay,498,227,0.25035550791748223,124.67704294290616,0.9256217299940281,0.004224599384124668
two,495,242,0.2225659991301737,110.17016956943598,0.8222934974921838,0.004199149990244399
